Time,EAR,MAR,Eye_Closed_Frames,Yawn_Frames,Drowsiness_Score,Status
0.36,0.299,0.018,0,0,0,ALERT
0.87,0.284,0.0,0,0,0,ALERT
1.37,0.343,0.018,0,0,0,ALERT
1.92,0.315,0.0,0,0,0,ALERT
2.42,0.334,0.017,0,0,0,ALERT
2.92,0.316,0.0,0,0,0,ALERT
3.43,0.409,0.018,0,0,0,ALERT
3.98,0.365,0.019,0,0,0,ALERT
4.49,0.093,0.0,9,0,31,ALERT
4.99,0.109,0.018,23,0,70,DROWSY!
5.49,0.141,0.019,39,0,70,DROWSY!
5.99,0.092,0.0,53,0,70,DROWSY!
6.5,0.115,0.0,69,0,70,DROWSY!
7.05,0.108,0.0,85,0,70,DROWSY!
7.59,0.305,0.0,0,0,0,ALERT
8.11,0.318,0.0,0,0,0,ALERT
8.65,0.329,0.0,0,0,0,ALERT
9.16,0.171,0.0,1,0,3,ALERT
9.67,0.086,0.018,16,0,56,WARNING
10.17,0.105,0.019,31,0,70,DROWSY!
10.71,0.137,0.019,47,0,70,DROWSY!
11.23,0.335,0.384,0,0,0,ALERT
11.73,0.341,0.759,0,3,9,ALERT
12.23,0.29,0.818,0,18,30,DROWSY - YAWNING
12.78,0.232,0.822,0,34,30,DROWSY - YAWNING
13.29,0.251,0.873,0,49,30,DROWSY - YAWNING
13.79,0.337,0.146,0,0,0,ALERT
14.3,0.326,0.016,0,0,0,ALERT
14.8,0.341,0.017,0,0,0,ALERT
15.35,0.35,0.566,0,0,0,ALERT
15.86,0.293,0.761,0,14,30,DROWSY - YAWNING
16.41,0.289,0.894,0,30,30,DROWSY - YAWNING
16.95,0.33,0.871,0,46,30,DROWSY - YAWNING
17.47,0.301,0.884,0,62,30,DROWSY - YAWNING
18.01,0.335,0.0,0,0,0,ALERT
18.52,0.284,0.017,0,0,0,ALERT
19.03,0.298,0.0,0,0,0,ALERT
19.53,0.166,0.101,13,0,45,WARNING
20.04,0.184,0.078,28,0,70,DROWSY!
20.54,0.228,0.089,0,0,0,ALERT
21.08,0.231,0.771,0,8,24,ALERT
21.59,0.118,0.889,15,23,82,DROWSY - YAWNING
22.1,0.208,0.873,31,39,100,DROWSY!
22.65,0.251,0.937,0,55,30,DROWSY - YAWNING
23.2,0.312,0.022,0,0,0,ALERT
23.71,0.311,0.029,0,0,0,ALERT
24.25,0.327,0.019,0,0,0,ALERT
24.76,0.296,0.055,0,0,0,ALERT
25.27,0.217,0.135,1,0,3,ALERT
25.82,0.245,0.149,0,0,0,ALERT
26.33,0.282,0.016,0,0,0,ALERT
26.83,0.254,0.0,0,0,0,ALERT
27.34,0.264,0.017,0,0,0,ALERT
27.89,0.303,0.018,0,0,0,ALERT
28.43,0.286,0.018,0,0,0,ALERT
28.94,0.285,0.025,0,0,0,ALERT
29.44,0.234,0.0,0,0,0,ALERT
29.95,0.199,0.0,4,0,14,ALERT
0.4,0.305,0.026,0,0,0,ALERT
0.91,0.294,0.021,0,0,0,ALERT
1.42,0.323,0.0,0,0,0,ALERT
1.93,0.284,0.0,0,0,0,ALERT
2.43,0.186,0.0,14,0,49,WARNING
2.94,0.203,0.0,29,0,70,DROWSY!
3.47,0.296,0.023,0,0,0,ALERT
3.98,0.358,0.0,0,0,0,ALERT
4.49,0.163,0.023,6,0,21,ALERT
4.99,0.18,0.0,20,0,70,DROWSY!
5.5,0.145,0.0,36,0,70,DROWSY!
6.0,0.305,0.0,0,0,0,ALERT
6.5,0.367,0.868,0,6,18,ALERT
7.06,0.364,0.944,0,23,30,DROWSY - YAWNING
7.57,0.311,0.021,0,0,0,ALERT
8.08,0.281,0.0,0,0,0,ALERT
8.61,0.306,0.679,0,1,3,ALERT
9.13,0.353,0.941,0,16,30,DROWSY - YAWNING
9.67,0.316,0.922,0,32,30,DROWSY - YAWNING
10.18,0.306,0.02,0,0,0,ALERT
10.73,0.291,0.0,0,0,0,ALERT
11.23,0.307,0.0,0,0,0,ALERT
11.73,0.295,0.02,0,0,0,ALERT
12.24,0.309,0.028,0,0,0,ALERT
